Legal_Name,Trade_Name,Tax_Registration_Number,Country_Code,Account_Creation_Date,Is_Active,Entity_ID
Xi Tech Corp,Xi Tech,TAX-391224,IN,2025-08-03 03:26:39,FALSE,VEND_9941
Mu Distribution PVT,Mu Distribution,TAX-261760,AE,2021-07-04 03:26:39,TRUE,CUST_7301
Omicron Trading Inc,Omicron Trading,TAX-372793,GB,2024-07-25 03:26:39,TRUE,CUST_6254
Lambda Logistics PK,Lambda Logistics,TAX-921609,GB,2023-08-26 03:26:39,TRUE,CUST_8264
Iota Logistics Inc,Iota Logistics,TAX-449759,IN,2025-09-01 03:26:39,FALSE,CUST_8110
Tau Trading Inc,Tau Trading,TAX-274421,AE,2025-05-23 03:26:39,FALSE,VEND_9571
Phi Trading PVT,Phi Trading,TAX-748133,FR,2026-03-25 03:26:39,FALSE,CUST_7800
Omicron Services Ltd,Omicron Services,TAX-975930,DE,2026-01-16 03:26:39,TRUE,VEND_2594
Theta Manufacturing Corp,Theta Manufacturing,TAX-515898,PK,2023-04-22 03:26:39,FALSE,VEND_1092
Gamma Tech PK,Gamma Tech,TAX-586279,FR,2025-08-03 03:26:39,TRUE,VEND_2204
Mu Logistics Inc,Mu Logistics,TAX-859687,GB,2024-02-26 03:26:39,FALSE,CUST_9591
Kappa Tech S.A.,Kappa Tech,TAX-262316,PK,2024-09-26 03:26:39,TRUE,CUST_8032
Xi Manufacturing Pakistan,Xi Manufacturing,TAX-373432,PK,2022-08-24 03:26:39,FALSE,VEND_2391
Eta Tech Pakistan,Eta Tech,TAX-482812,IN,2024-02-26 03:26:39,FALSE,CUST_9361
Xi Services PVT,Xi Services,TAX-649414,US,2024-03-07 03:26:39,FALSE,VEND_3434
Sigma Logistics LLC,Sigma Logistics,TAX-346174,FR,2022-07-25 03:26:39,FALSE,VEND_2129
Delta Services PVT,Delta Services,TAX-468611,GB,2024-08-20 03:26:39,TRUE,VEND_9767
Eta Logistics Ltd,Eta Logistics,TAX-803571,IN,2023-03-22 03:26:39,TRUE,VEND_5448
Mu Trading Inc,Mu Trading,TAX-265092,US,2024-11-07 03:26:39,FALSE,CUST_5590
Chi Tech Inc,Chi Tech,TAX-106933,DE,2023-04-23 03:26:39,FALSE,CUST_6192
Sigma Distribution Corp,Sigma Distribution,TAX-898867,PK,2022-08-02 03:26:39,TRUE,VEND_8835
Psi Services PK,Psi Services,TAX-792687,AE,2024-09-24 03:26:39,TRUE,VEND_7303
Eta Manufacturing Inc,Eta Manufacturing,TAX-718337,DE,2025-06-14 03:26:39,TRUE,CUST_3999
Tau Consulting S.A.   ,Tau Consulting  ,TAX-843167,DE,2024-09-20 03:26:39,FALSE,CUST_3942
Nu Manufacturing Corp,Nu Manufacturing,TAX-179688,DE,2022-07-12 03:26:39,TRUE,CUST_9196
Psi Tech S.A.,Psi Tech,TAX-745239,US,2025-12-15 03:26:39,TRUE,VEND_5662
Mu Manufacturing Inc,Mu Manufacturing,TAX-493417,FR,2024-12-19 03:26:39,TRUE,CUST_8306
Alpha Logistics Corp,Alpha Logistics,TAX-237064,PK,2021-10-13 03:26:39,FALSE,VEND_7540
Kappa Logistics PK,Kappa Logistics,TAX-848831,US,2024-06-16 03:26:39,FALSE,VEND_4432
Pi Trading Pakistan,Pi Trading,TAX-881549,US,2025-01-24 03:26:39,FALSE,VEND_3960
Mu Tech S.A.,Mu Tech,TAX-495833,GB,2025-12-13 03:26:39,TRUE,CUST_2749
Xi Logistics Inc,Xi Logistics,TAX-593515,FR,2022-02-02 03:26:39,TRUE,CUST_1083
Mu Tech PK,Mu Tech,TAX-868677,US,2024-04-23 03:26:39,FALSE,VEND_2529
Eta Consulting Ltd,Eta Consulting,TAX-400538,FR,2024-12-29 03:26:39,TRUE,VEND_7102
Xi Consulting S.A.,Xi Consulting,TAX-205428,FR,2022-01-29 03:26:39,TRUE,VEND_9724
Epsilon Trading Inc,Epsilon Trading,TAX-836109,DE,2024-03-16 03:26:39,TRUE,VEND_2595
Gamma Consulting PVT,Gamma Consulting,TAX-581294,DE,2025-01-13 03:26:39,TRUE,CUST_7116
Phi Services PVT,Phi Services,TAX-812526,IN,2023-05-24 03:26:39,FALSE,CUST_1999
Tau Services Ltd,Tau Services,TAX-279516,FR,2022-11-25 03:26:39,FALSE,CUST_9821
Iota Manufacturing PK,Iota Manufacturing,TAX-297509,PK,2023-07-02 03:26:39,TRUE,CUST_4584
Psi Trading Corp,Psi Trading,TAX-250038,FR,2024-11-18 03:26:39,FALSE,VEND_8798
Mu Trading LLC,Mu Trading,TAX-915573,IN,2025-06-25 03:26:39,FALSE,CUST_9561
Epsilon Manufacturing S.A.,Epsilon Manufacturing,TAX-789886,GB,2025-08-21 03:26:39,TRUE,CUST_1257
Theta Consulting PK,Theta Consulting,TAX-839142,PK,2022-07-13 03:26:39,FALSE,CUST_7415
Mu Consulting S.A.,Mu Consulting,TAX-661091,US,2022-07-18 03:26:39,FALSE,CUST_8736
Pi Services S.A.,Pi Services,TAX-256175,DE,2023-07-06 03:26:39,TRUE,CUST_1377
Upsilon Tech Corp,Upsilon Tech,TAX-358494,AE,2023-04-10 03:26:39,FALSE,VEND_2639
Phi Consulting LLC,Phi Consulting,TAX-407757,GB,2025-07-07 03:26:39,FALSE,CUST_4613
Beta Trading PVT,Beta Trading,TAX-102260,GB,2024-11-29 03:26:39,FALSE,VEND_7810
Mu Manufacturing Ltd,Mu Manufacturing,TAX-347745,US,2025-07-31 03:26:39,FALSE,CUST_8109
Alpha Consulting S.A.,Alpha Consulting,TAX-844163,PK,2026-03-06 03:26:39,TRUE,CUST_9584
Sigma Logistics LLC,Sigma Logistics,TAX-324411,DE,2021-08-17 03:26:39,FALSE,VEND_3814
"Zeta Manufacturing PK	","Zeta Manufacturing	",TAX-139286,US,2024-09-22 03:26:39,TRUE,CUST_6075
Psi Trading PVT,Psi Trading,TAX-344907,IN,2022-01-19 03:26:39,FALSE,VEND_2565
Omicron Manufacturing Ltd,Omicron Manufacturing,TAX-237654,DE,2021-09-12 03:26:39,TRUE,VEND_7561
Eta Distribution Ltd,Eta Distribution,TAX-622469,DE,2023-10-13 03:26:39,FALSE,CUST_6447
Psi Distribution Pakistan,Psi Distribution,TAX-844321,US,2024-11-16 03:26:39,FALSE,CUST_6050
Gamma Distribution PK,Gamma Distribution,TAX-438503,AE,2024-04-10 03:26:39,TRUE,VEND_1587
Upsilon Services LLC,Upsilon Services,TAX-295472,PK,2023-08-05 03:26:39,FALSE,VEND_8940
Chi Services PK,Chi Services,TAX-823821,US,2022-10-26 03:26:39,FALSE,VEND_6753
"Gamma Distribution Pakistan	",Gamma Distribution  ,TAX-800280,AE,2022-06-03 03:26:39,TRUE,CUST_2820
Psi Trading PK,Psi Trading,TAX-677596,US,2023-04-21 03:26:39,FALSE,VEND_8458
Pi Distribution PVT,Pi Distribution,TAX-546980,FR,2025-10-17 03:26:39,FALSE,VEND_5444
Xi Trading Ltd,Xi Trading,TAX-943170,FR,2023-07-01 03:26:39,FALSE,VEND_7882
Iota Consulting PVT,Iota Consulting,TAX-781403,US,2021-08-16 03:26:39,FALSE,CUST_3669
Sigma Services LLC,Sigma Services,TAX-419491,PK,2022-03-16 03:26:39,FALSE,CUST_3759
Omicron Consulting LLC,Omicron Consulting,TAX-109767,GB,2022-12-01 03:26:39,TRUE,CUST_6885
Delta Tech Corp,Delta Tech,TAX-979414,US,2024-06-28 03:26:39,FALSE,VEND_4205
Nu Logistics S.A.,Nu Logistics,TAX-396020,IN,2021-08-30 03:26:39,FALSE,VEND_4974
Kappa Logistics PK,Kappa Logistics,TAX-335765,DE,2024-10-12 03:26:39,TRUE,VEND_7974
Zeta Logistics LLC,Zeta Logistics,TAX-649857,PK,2025-01-18 03:26:39,TRUE,VEND_9312
Upsilon Manufacturing LLC,Upsilon Manufacturing,TAX-899787,PK,2022-11-22 03:26:39,TRUE,CUST_7932
Psi Services PVT,Psi Services,TAX-910926,GB,2021-10-05 03:26:39,FALSE,CUST_1231
Upsilon Distribution Inc,Upsilon Distribution,TAX-800305,IN,2023-04-17 03:26:39,FALSE,VEND_2873
Eta Tech PVT,Eta Tech,TAX-810219,FR,2025-06-04 03:26:39,FALSE,CUST_6400
Phi Logistics Ltd,Phi Logistics,TAX-186702,GB,2021-08-29 03:26:39,FALSE,VEND_4986
Kappa Distribution S.A.,Kappa Distribution,TAX-134985,DE,2024-05-09 03:26:39,TRUE,VEND_8579
Iota Consulting Corp,Iota Consulting,TAX-852470,AE,2025-04-05 03:26:39,FALSE,VEND_9300
Tau Manufacturing Inc,Tau Manufacturing,TAX-367865,PK,2026-01-23 03:26:39,FALSE,CUST_7170
Omicron Trading Ltd,Omicron Trading,TAX-703867,FR,2025-02-12 03:26:39,TRUE,CUST_5144
Iota Logistics S.A.,Iota Logistics,TAX-547852,PK,2024-06-14 03:26:39,TRUE,CUST_6518
Gamma Tech LLC,Gamma Tech,TAX-880758,FR,2024-04-23 03:26:39,TRUE,CUST_6872
Pi Services Inc,Pi Services,TAX-626883,AE,2024-03-11 03:26:39,TRUE,VEND_5809
"Delta Tech Pakistan
","Delta Tech	",TAX-766459,IN,2023-10-28 03:26:39,TRUE,VEND_5009
